category,id.1,id.2,SH_8_1,SH_8_2,SH_8_3,SH_8_4,SH_8_5,SH_8_6,SH_8_7,SH_8_8,year.diff.squared
Traditional Art,2006,2004,0.00122661340557796,0.00562091734478622,0.00402860040352135,0.00370070807058826,0.00481018973780938,0.00315476656980288,0.00127436026811625,0.000951900599275938,4
Traditional Art,2006,2003,0.00245187991789919,0.00882261106549549,0.00764852164541407,0.00317382558370817,0.00180024285433567,0.00241463593035564,0.00104610837860459,0.00129632338316894,9
Traditional Art,2006,2002,0.00755597175767727,0.0169839313171192,0.0144762119202666,0.0117689090920739,0.0105639766072598,0.00493003773581291,0.0041004974109472,0.00151481074257913,16
Traditional Art,2006,2001,0.0588436403885139,0.0268985289416138,0.0192621947340202,0.0639013125390932,0.0236478271720582,0.0377348311548726,0.0121917014945793,0.00252063360849987,25
Traditional Art,2005,2010,0.0280000983553265,0.0127273100544963,0.0148766464803213,0.0135839814970667,0.011366564851135,0.00667516783151637,0.0026859063213903,0.000519358739767549,25
Traditional Art,2005,2008,0.00648265074617055,0.00624543842464108,0.00795398514913509,0.00544706863039544,0.00476826301491066,0.0045955977242762,0.001833602147991,0.000302764657817412,9
Traditional Art,2005,2009,0.0255955895375256,0.00951625679619594,0.0109586696811666,0.00884439628113466,0.00733410848282479,0.00401050475979762,0.00178547185117743,0.000124830285863372,16
Traditional Art,2005,2004,0.000722710430064184,0.00341594543621557,0.00300855932511005,0.00251715516256375,0.0019637994350218,0.00170015632373541,0.00103334072241724,0.000735483692710924,1
Traditional Art,2005,2003,0.0017120308214727,0.00599108011605663,0.00621494240362895,0.00208616261098986,0.0003023604239155,0.00116995386329216,0.000828923593561495,0.00104144373204104,4
Traditional Art,2005,2002,0.00620712757699098,0.0129494671628551,0.0124760432819587,0.00956922507618722,0.00604357799513992,0.00305586409727388,0.00365814016953331,0.00123815916054508,9
Traditional Art,2005,2001,0.0549608544001367,0.0217506520412706,0.0169435489617479,0.0586244683364016,0.0165734071561345,0.0321557325703531,0.0114198017975773,0.00215972376830375,16
Traditional Art,2010,2008,0.00753725905243645,0.00114158124233855,0.0010748392813567,0.00182722735593326,0.00141086497744119,0.00019351208831638,8.10927158927396e-05,2.90446596775466e-05,4
Traditional Art,2010,2009,5.39649279237961e-05,0.000232992046440227,0.00029881250563628,0.000506506011797957,0.000439937347117723,0.000337572792656393,9.16018624158531e-05,0.000134947629234973,1
Traditional Art,2010,2004,0.0377196889389145,0.0293304912429015,0.0312653812145561,0.0277960909825019,0.0227795237477804,0.0151129287149593,0.00705118724644654,0.00249093285597657,36
Traditional Art,2010,2003,0.0435594439184502,0.0361826776393711,0.0403225536059133,0.0263169078055487,0.0153766466059233,0.0134342677450048,0.00649906255996886,0.00303169730722226,49
Traditional Art,2010,2002,0.0605738853839664,0.051352593358006,0.0545998316585515,0.045955678051249,0.0339865985850209,0.0187639507747909,0.0126131522663532,0.00336132434904931,64
Traditional Art,2010,2001,0.16141882244096,0.0677542174389821,0.0635731913968411,0.128647928681419,0.0553904880129456,0.0681324301675636,0.0251822631496867,0.00479726230643805,81
Traditional Art,2008,2009,0.00631568857668426,0.000343109571859493,0.000240204975151339,0.000409673451094644,0.000275121906051679,1.99120488866734e-05,3.2005810175242e-07,3.87803411531858e-05,1
Traditional Art,2008,2004,0.0115343699813636,0.0188991491498901,0.0207462117196531,0.0153699288704893,0.0128521644800352,0.0118861867798392,0.00561993089670318,0.00198202474047229,16
Traditional Art,2008,2003,0.0148575631911713,0.0244703931455681,0.0282307282313677,0.0142751807862059,0.00747206802617685,0.0104030670049675,0.00512822327505068,0.00246726200419304,25
Traditional Art,2008,2002,0.0253765651848624,0.0371810224332773,0.0403533075773254,0.0294557155412259,0.0215482034167419,0.015146399337268,0.0106715390982903,0.00276545774531744,36
Traditional Art,2008,2001,0.0991949037316427,0.0513063764375209,0.0481155216908078,0.0998112349201275,0.0391210249820221,0.0610638629823399,0.022405315900055,0.00407975529054473,49
Traditional Art,2009,2004,0.0349202066219105,0.0243351867492511,0.0254510973197109,0.0207982283500713,0.0168880905493674,0.0109331068817164,0.00553542868379599,0.00146631938980081,25
Traditional Art,2009,2003,0.0405470218835398,0.0306086821332557,0.0336790658366735,0.0195214491459878,0.0106147530771372,0.00951271232640718,0.00504751668551661,0.00188739458696704,36
Traditional Art,2009,2002,0.0570118495603361,0.0446675666659649,0.0468202501393309,0.0368129712020496,0.0266929794361792,0.0140679565362801,0.0105549743832764,0.00214927123293335,49
Traditional Art,2009,2001,0.155569921922825,0.0600408408113512,0.0551550171266276,0.113009968237803,0.0459575647103891,0.0588784119092773,0.022236272409822,0.00332301240264967,64
Traditional Art,2004,2003,0.000210059223677915,0.000359329098379533,0.000575259612919221,2.02205735367486e-05,0.000725023616214797,4.93978946057854e-05,1.12532355153798e-05,2.65390315178342e-05,1
Traditional Art,2004,2002,0.00269382297373415,0.00306358216016066,0.00323145340265385,0.00227063282915262,0.00111727581919372,0.000197315925450848,0.000802982361417673,6.50875131502446e-05,4
Traditional Art,2004,2001,0.0430786796311651,0.00792721923172673,0.00567265840539188,0.0368462014507252,0.00712723768504563,0.0190680868838058,0.00558275789047916,0.000374539603205879,9
Traditional Art,2003,2002,0.0013994057268904,0.00132449831974845,0.00107986528709452,0.00271940210749122,0.00364235649532765,0.000444167523890864,0.00100435292520934,8.5035138544279e-06,1
Traditional Art,2003,2001,0.0372724030928058,0.00491105989777932,0.00263502373338734,0.0385927491380897,0.0123986513593325,0.0210585394878108,0.00609530580726259,0.000201680356555039,4
Traditional Art,2002,2001,0.0242275415356779,0.00113469923779006,0.000341184433322398,0.020823207559778,0.00260072388266496,0.0153860022318193,0.0021511889821068,0.000127358953720545,1
